category_ID,display_name,category_count
1,#cakeweek,6
2,#wasteless,1
3,22-minute meals,15
4,3-ingredient recipes,20
5,30 days of groceries,7
6,advance prep required,69
7,alabama,1
8,alaska,2
9,alcoholic,610
10,almond,448
11,amaretto,30
12,anchovy,27
13,anise,79
14,anniversary,88
15,anthony bourdain,2
16,aperitif,6
17,appetizer,1009
18,apple,508
19,apple juice,5
20,apricot,202
21,arizona,8
22,artichoke,121
23,arugula,185
24,asian pear,14
25,asparagus,151
26,aspen,1
27,atlanta,5
28,australia,4
29,avocado,191
30,back to school,141
31,backyard bbq,614
32,bacon,481
33,bake,3479
34,banana,123
35,barley,38
36,basil,424
37,bass,59
38,bastille day,20
39,bean,409
40,beef,621
41,beef rib,43
42,beef shank,9
43,beef tenderloin,55
44,beer,72
45,beet,144
46,bell pepper,543
47,berry,314
48,beverly hills,1
49,birthday,134
50,biscuit,4
51,bitters,88
52,blackberry,109
53,blender,435
54,blue cheese,183
55,blueberry,134
56,boil,294
57,bok choy,37
58,bon appétit,6807
59,bon app��tit,7
60,boston,4
61,bourbon,97
62,braise,272
63,bran,3
64,brandy,206
65,bread,378
66,breadcrumbs,31
67,breakfast,519
68,brie,9
69,brine,27
70,brisket,25
71,broccoli,75
72,broccoli rabe,35
73,broil,353
74,brooklyn,6
75,brown rice,10
76,brownie,2
77,brunch,622
78,brussel sprout,42
79,buffalo,2
80,buffet,101
81,bulgaria,1
82,bulgur,18
83,burrito,1
84,butter,124
85,buttermilk,57
86,butternut squash,136
87,butterscotch/caramel,10
88,cabbage,234
89,cake,588
90,california,132
91,calvados,14
92,cambridge,3
93,campari,15
94,camping,0
95,canada,7
96,candy,41
97,candy thermometer,40
98,cantaloupe,38
99,capers,134
100,caraway,23
101,cardamom,31
102,carrot,513
103,cashew,52
104,casserole/gratin,165
105,cauliflower,89
106,caviar,1
107,celery,230
108,chambord,11
109,champagne,72
110,chard,59
111,chartreuse,16
112,cheddar,209
113,cheese,1019
114,cherry,195
115,chestnut,57
116,chicago,4
117,chicken,993
118,chickpea,101
119,chile,8
120,chile pepper,144
121,chili,2
122,chill,842
123,chive,186
124,chocolate,635
125,christmas,752
126,christmas eve,215
127,cilantro,430
128,cinco de mayo,120
129,cinnamon,341
130,citrus,641
131,clam,107
132,clove,146
133,cobbler/crumble,6
134,cocktail,274
135,cocktail party,837
136,coconut,270
137,cod,49
138,coffee,149
139,coffee grinder,10
140,cognac/armagnac,70
141,collard greens,20
142,colorado,16
143,columbus,3
144,condiment,52
145,condiment/spread,616
146,connecticut,11
147,cook like a diner,4
148,cookbook critic,3
149,cookie,58
150,cookies,213
151,coriander,97
152,corn,276
153,cornmeal,207
154,costa mesa,1
155,cottage cheese,26
156,couscous,64
157,crab,121
158,cranberry,284
159,cranberry sauce,3
160,cream cheese,302
161,créme de cacao,18
162,crêpe,1
163,cr��me de cacao,1
164,cuba,1
165,cucumber,281
166,cumin,61
167,cupcake,2
168,currant,84
169,curry,207
170,custard,2
171,dairy,1136
172,dairy free,2238
173,dallas,5
174,date,96
175,deep-fry,58
176,denver,3
177,dessert,2669
178,digestif,4
179,dill,213
180,dinner,1794
181,dip,11
182,diwali,18
183,dominican republic,2
184,dorie greenspan,1
185,double boiler,27
186,dried fruit,160
187,drink,794
188,drinks,10
189,duck,76
190,easter,157
191,eau de vie,6
192,edible gift,69
193,egg,1334
194,egg nog,7
195,eggplant,162
196,egypt,0
197,emeril lagasse,1
198,endive,90
199,engagement party,121
200,england,1
201,entertaining,5
202,epi + ushg,2
203,epi loves the microwave,1
204,escarole,34
205,fall,2287
206,family reunion,205
207,fat free,255
208,father's day,194
209,fennel,270
210,feta,170
211,fig,122
212,fish,676
213,flaming hot summer,10
214,flat bread,1
215,florida,38
216,fontina,23
217,food processor,735
218,fortified wine,57
219,fourth of july,249
220,france,12
221,frangelico,15
222,frankenrecipe,0
223,freeze/chill,317
224,freezer food,2
225,friendsgiving,8
226,frittata,0
227,fritter,1
228,frozen dessert,264
229,fruit,1485
230,fruit juice,354
231,fry,315
232,game,29
233,garlic,1212
234,georgia,16
235,germany,1
236,gin,174
237,ginger,832
238,goat cheese,236
239,goose,11
240,gouda,7
241,gourmet,5123
242,graduation,57
243,grains,7
244,grand marnier,0
245,granola,5
246,grape,52
247,grapefruit,85
248,grappa,4
249,green bean,161
